,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
131,Rivitalo | 3h + kt + s + var + autokatos,Puuskarinne 8 C3,Laajasalo,Helsinki,579 000,"81,5",2024,Omistusasunto
132,"Rivitalo | 3h + kt + s + at n. 26,5m2 (sis.var)",Puuskarinne 8 B5,Laajasalo,Helsinki,546 000,"75,5",2024,Omistusasunto
133,Rivitalo | 3h + kt + s + var + autokatos,Puuskarinne 8 C2,Laajasalo,Helsinki,599 000,"81,5",2024,Omistusasunto
134,Rivitalo | 3h + kt + s + var,Puuskarinne 8 C1,Laajasalo,Helsinki,626 000,"81,5",2024,Omistusasunto
135,"Rivitalo | 3h + kt + s + at n. 26,5m2 (sis.var)",Puuskarinne 8 B4,Laajasalo,Helsinki,529 000,"75,5",2024,Omistusasunto
136,"Rivitalo | 3h + kt + s + at n. 26,5m2 (sis.var)",Puuskarinne 8 B2,Laajasalo,Helsinki,529 000,"75,5",2024,Omistusasunto
137,"Rivitalo | 3h + kt + s + at n. 26,5m2 (sis.var)",Puuskarinne 8 B3,Laajasalo,Helsinki,529 000,"75,5",2024,Omistusasunto
138,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A8,Laajasalo,Helsinki,749 000,111,2024,Omistusasunto
139,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A7,Laajasalo,Helsinki,739 000,111,2024,Omistusasunto
140,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A6,Laajasalo,Helsinki,739 000,111,2024,Omistusasunto
141,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A5,Laajasalo,Helsinki,739 000,111,2024,Omistusasunto
142,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A4,Laajasalo,Helsinki,739 000,111,2024,Omistusasunto
143,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A2,Laajasalo,Helsinki,759 000,111,2024,Omistusasunto
144,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A3,Laajasalo,Helsinki,746 000,111,2024,Omistusasunto
145,"Rivitalo | 3h + kt + s + at n. 26,5m2 (sis.var)",Puuskarinne 8 B1,Laajasalo,Helsinki,539 000,"75,5",2024,Omistusasunto
146,Rivitalo | 4h + kt + s + var + at n. 22m2,Puuskarinne 8 A1,Laajasalo,Helsinki,769 000,111,2024,Omistusasunto
147,Rivitalo | 4h + k + s + khh + vh + ak + 2 var 1-taso,Amerikanraitti 12 ,Pirtti,Kuopio,199 800,"86,5",1997,Omistusasunto
148,Luhtitalo | 2h + k,Routakuja 3,Vähäjärvi,Pirkkala,149 000,57,1976,Omistusasunto
149,"Kerrostalo | 3h, k, kph, p.",Kevätkatu 5,Kilpiäinen,Lahti,65 000,71,1968,Omistusasunto
150,"Kerrostalo | 2h, k, kph, vh, parveke",Heikinkuja 2,Katinala,Hattula,51 000,63,1974,Omistusasunto
151,"Kerrostalo | 2h, k, kh, vh, p",Tuomikuja 3 B,Friitala,Ulvila,24 900,"54,5",1975,Omistusasunto
152,Kerrostalo | 2h + k + kph + s,Yliopistonkatu 45 E,Sorsapuisto,Tampere,234 000,54,1937,Omistusasunto
153,Kerrostalo | 2h + k + kh + wc + p,Vuolukiventie 9 F,Pihlajamäki,Helsinki,128 000,60,1964,Omistusasunto
154,"Omakotitalo | 2h, k, pkh, kph, s",Riekonkuja 16,Tainionkoski,Imatra,72 000,"70,6",1983,Omistusasunto
155,"Omakotitalo | 4h, k, s, ph, khh, wc",Erätie 4,Markkamäki,Äänekoski,140 000,107,1964,Omistusasunto
156,Paritalo | 3h + k + s,Kauriinrinne 13 H,Metsola,Vantaa,142 000,80,1980,Omistusasunto
157,"Omakotitalo | 4h, k, kph, s, vh, wc",Nevalantie 143,Porovesi,Iisalmi,149 000,106,1990,Omistusasunto
158,"Rivitalo | 3mh, oh, tkh, k, vh, 2wc, ph, s, kuisti, läm.v, läm.at, ak",Nauhantie 4 D,Kuusankoski,Kouvola,89 000,"119,5",1974,Omistusasunto
159,"Rivitalo | 4h, k, ph, s, wc + varasto",Isonkorventie 14 J,Kalajärvi,Espoo,298 000,95,2008,Omistusasunto
160,Rivitalo | 2h + k + s + ak,Karhitie 18 A 6,Nurmo,Seinäjoki,149 000,58,2012,Omistusasunto
161,"Kerrostalo | 2h, k, kph, las.parv, vh",Auringonkatu 8,Olari,Espoo,189 000,"46,5",1981,Omistusasunto
162,Kerrostalo | 3h + k + s,Kevätkummuntie 1 B 9,Keskusta,Porvoo,323 000,68,2023,Omistusasunto
163,Rivitalo | 3h + k + kph,Pehtorintie 1,Järvenperä,Espoo,225 000,64,1970,Omistusasunto
164,Kerrostalo | 3h + k + vh + s + lasp,Kaivomestarinkatu 3,Kirkkojärvi,Espoo,215 000,"71,5",1989,Omistusasunto
165,Kerrostalo | 2h + k + kph (Yhtiöjärjestyksen mukaan 2h ja keittokomero),Viipurinkatu 29 as,Alppila,Helsinki,269 000,"38,5",1941,Omistusasunto
166,"Omakotitalo | 4h, k, kh, s, khh, lasitettu terassi, at, kellari, varastot",Rinnetie 15,,Pielavesi,112 000,128,1984,Omistusasunto
167,Kerrostalo | 3h + k,Kontulankaari 3,Kontula,Helsinki,186 000,75,1967,Omistusasunto
168,"Luhtitalo | 1h, kk",Patotie 5,Rantakylä,Joensuu,42 000,"33,5",1975,Omistusasunto
169,"Kerrostalo | 2h, k, kph, lasit. p",Pupuhuhdantie 14,Pupuhuhta,Jyväskylä,40 000,60,1979,Omistusasunto
170,"Kerrostalo | 3h, k, kph, las.p",Kaakonkoipi 3,Sulku,Jyväskylä,58 000,80,1979,Omistusasunto
171,Omakotitalo | 6h + k + khh + s + uima-allas + var + at,Kulmakatu 4B,Kangas,Iisalmi,249 000,231,1970,Omistusasunto
172,"Kerrostalo | 1h, kk, kh, parveke",Tiistiläntie 6,Matinkylä,Espoo,145 000,35,1985,Omistusasunto
173,"Kerrostalo | 2h, k, kh, las.p.",Katariinankatu 22,Keskusta,Pori,118 000,54,1970,Omistusasunto
174,"Kerrostalo | 1h, kk, p",Patteritie 11,Taavetti,Luumäki,18 500,35,1973,Omistusasunto
175,"Rivitalo | 4h, k, s, ph / wc, wc",Laureenintie 5,Ruutana,Kangasala,169 000,92,1989,Omistusasunto
176,Rivitalo | 2h + k + s,Urpolankatu 14,Harjuniitty,Nokia,189 000,"56,5",2015,Omistusasunto
